revision;possibleRenamings;renamingsDueToIdentation
/home/ines/gjcc/fpfnanalysis/samplerpl/java_rxjava/rev_2a3ad_1c47b/rev_2a3ad-1c47b.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2a6df_2c4ac/rev_2a6df-2c4ac.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2a12e_38027/rev_2a12e-38027.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2ab0c_8744c/rev_2ab0c-8744c.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_voldemort/revisions/rev_2ae78_3b74b/rev_2ae78-3b74b.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_orientdb/revisions/rev_2b051_b9812/rev_2b051-b9812.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2b87b_b7e10/rev_2b87b-b7e10.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2b767_52bd2/rev_2b767-52bd2.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_roboguice/revisions/rev_2ba14_c767f/rev_2ba14-c767f.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_graylog2server/revisions/rev_2baae_88cd0/rev_2baae-88cd0.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_lucenesolr/revisions/rev_2baf8_b9f07/rev_2baf8-b9f07.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_2c000_bb3e3/rev_2c000-bb3e3.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_voldemort/revisions/rev_2c3c9_92737/rev_2c3c9-92737.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_kotlin/revisions/rev_2c25a_abfbe/rev_2c25a-abfbe.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2c762_5bbc5/rev_2c762-5bbc5.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2cc61_e0d9a/rev_2cc61-e0d9a.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2cd73_781b2/rev_2cd73-781b2.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2ce7b_e863c/rev_2ce7b-e863c.revisions;2;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2ce93_3e736/rev_2ce93-3e736.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_jedis/revisions/rev_2d04a_68356/rev_2d04a-68356.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2d8ef_be837/rev_2d8ef-be837.revisions;2;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_2d173_a7547/rev_2d173-a7547.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2d209_e15de/rev_2d209-e15de.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2d210_4261b/rev_2d210-4261b.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2d210_da636/rev_2d210-da636.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_2d875_ea05a/rev_2d875-ea05a.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2dbe3_79a98/rev_2dbe3-79a98.revisions;1;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2dd73_1b5ed/rev_2dd73-1b5ed.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2df27_99594/rev_2df27-99594.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_realmjava/revisions/rev_2e0d4_1d5cd/rev_2e0d4-1d5cd.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_gradle/revisions/rev_2e1ed_53d5c/rev_2e1ed-53d5c.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_ogplatform/revisions/rev_2e4f0_58885/rev_2e4f0-58885.revisions;0;0
/home/ines/gjcc/fpfnanalysis/samplerpl/java_cassandra/revisions/rev_2e9ac_18d3b/rev_2e9ac-18d3b.revisions;1;0
